column,count,mean,std,min,25%,50%,75%,max,missing
temperature_c,95509.0,22.995822802039598,2.8844867612729823,18.0,20.5,23.01,25.5,28.0,1949
humidity,95509.0,50.04372928205718,11.541730753692118,30.0,40.04,50.06,60.0,70.0,1949
co2_ppm,95509.0,700.3678031389712,173.45374682338752,400.0,549.71,700.64,850.52,999.99,1949
pm2_5_g_m,95509.0,39.931032468144366,20.19869183226505,5.0,22.43,39.85,57.43,75.0,1949
pm10_g_m,95509.0,55.0747135872012,25.94003193780599,10.0,32.63,55.3,77.45,100.0,1949
tvoc_ppb,95509.0,274.88429090452206,129.8019951132585,50.0,162.74,273.91,387.23,500.0,1949
co_ppm,95509.0,2.5500538169177775,1.4146742258996194,0.1,1.33,2.55,3.78,5.0,1949
light_intensity_lux,95509.0,550.4351789883676,259.4491973272859,100.04,326.69,549.69,774.74,999.99,1949
motion_detected,95509.0,0.49977489032447203,0.5000025669002877,0.0,0.0,0.0,1.0,1.0,1949
occupancy_count,95509.0,24.42264079824938,14.459129310600806,0.0,12.0,24.0,37.0,49.0,1949
