equipamento_id,tipo_equipamento,temperatura,pressao,vibracao,horas_operacao,status
EQ-0001,Compressor,59.8,6.42,3.01,1958,normal
EQ-0002,Ventilador,51.8,6.08,1.33,6344,normal
EQ-0003,Motor,64.6,5.03,2.52,5779,normal
EQ-0004,Compressor,80.3,7.01,0.93,6144,alerta
EQ-0005,Compressor,72.6,4.09,1.74,5063,normal
EQ-0006,Ventilador,55.1,6.3,2.75,3830,normal
EQ-0007,Motor,72.1,6.27,0.65,9046,normal
EQ-0008,Motor,74.6,5.1,2.88,8831,normal
EQ-0009,Compressor,59.4,5.92,2.38,9794,normal
EQ-0010,Bomba,71.8,3.87,3.01,6659,normal
EQ-0011,Compressor,70.7,6.7,2.65,441,normal
EQ-0012,Compressor,56.3,5.26,3.9,6040,alerta
EQ-0013,Compressor,74.3,4.82,2.54,5925,normal
EQ-0014,Compressor,76.7,6.86,1.93,7358,normal
EQ-0015,Ventilador,83.0,4.58,2.53,4628,alerta
EQ-0016,Motor,82.6,3.67,3.0,6370,alerta
EQ-0017,Ventilador,53.5,3.48,2.45,9528,normal
EQ-0018,Ventilador,58.7,6.29,2.44,948,normal
EQ-0019,Ventilador,76.2,3.84,1.63,8179,normal
EQ-0020,Compressor,76.2,7.78,1.67,6115,alerta
EQ-0021,Bomba,76.2,2.79,0.86,459,alerta
EQ-0022,Motor,116.2,7.71,4.32,7568,critico
EQ-0023,Bomba,76.9,5.77,1.03,4646,normal
EQ-0024,Ventilador,83.6,5.37,1.64,392,alerta
EQ-0025,Ventilador,81.4,4.79,1.61,1787,alerta
EQ-0026,Bomba,77.8,6.02,3.38,7374,normal
EQ-0027,Bomba,66.2,5.45,2.08,1138,normal
EQ-0028,Bomba,79.1,6.93,3.77,4741,alerta
EQ-0029,Ventilador,60.7,5.65,1.66,7418,normal
EQ-0030,Ventilador,67.2,5.7,2.71,6362,normal
EQ-0031,Motor,64.2,5.03,1.48,2454,normal
EQ-0032,Motor,71.0,5.43,4.76,9658,critico
EQ-0033,Ventilador,97.8,5.9,1.09,3674,critico
EQ-0034,Bomba,47.6,3.28,2.74,1377,normal
EQ-0035,Bomba,78.2,3.75,3.1,6701,normal
EQ-0036,Motor,50.6,6.47,2.86,2597,normal
EQ-0037,Ventilador,64.3,5.72,2.2,141,normal
EQ-0038,Motor,83.1,5.26,2.26,2659,alerta
EQ-0039,Motor,70.8,5.52,2.45,4596,normal
EQ-0040,Compressor,57.1,5.95,2.24,9031,normal
EQ-0041,Compressor,61.4,4.8,3.46,5661,normal
EQ-0042,Compressor,78.2,4.49,4.83,6142,critico
EQ-0043,Bomba,61.2,5.75,1.79,5626,normal
EQ-0044,Ventilador,72.6,4.23,0.89,8787,normal
EQ-0045,Ventilador,70.5,6.03,2.3,8472,normal
EQ-0046,Ventilador,62.2,3.29,5.24,423,critico
EQ-0047,Ventilador,95.7,6.84,1.52,6999,critico
EQ-0048,Compressor,77.6,6.11,4.2,4249,alerta
EQ-0049,Bomba,45.7,5.83,4.25,1750,alerta
EQ-0050,Bomba,72.2,6.78,1.79,4757,normal
EQ-0051,Compressor,62.1,7.67,3.03,1967,alerta
EQ-0052,Bomba,80.2,6.82,4.19,4088,alerta
EQ-0053,Compressor,60.5,3.11,1.98,4178,normal
EQ-0054,Ventilador,68.6,3.84,2.18,7789,normal
EQ-0055,Compressor,76.1,4.69,1.76,2946,normal
EQ-0056,Ventilador,80.4,5.53,1.28,9641,alerta
EQ-0057,Ventilador,55.6,6.17,1.69,5394,normal
EQ-0058,Motor,66.0,4.56,1.05,7880,normal
EQ-0059,Compressor,64.3,5.74,2.44,5075,normal
EQ-0060,Motor,62.2,4.52,1.55,7230,normal
EQ-0061,Compressor,91.2,4.71,2.66,1531,critico
EQ-0062,Compressor,74.9,3.67,0.69,2990,normal
EQ-0063,Motor,54.9,4.3,2.76,7155,normal
EQ-0064,Motor,81.0,3.74,3.32,4493,alerta
EQ-0065,Compressor,95.5,4.23,0.21,9335,critico
EQ-0066,Bomba,82.4,6.87,2.81,933,alerta
EQ-0067,Ventilador,51.8,4.27,3.75,1460,alerta
EQ-0068,Motor,64.2,8.92,1.07,2723,critico
EQ-0069,Ventilador,85.2,6.14,4.24,285,alerta
EQ-0070,Bomba,61.5,5.74,2.86,264,normal
EQ-0071,Bomba,75.3,4.38,1.62,6816,normal
EQ-0072,Bomba,79.3,6.41,2.34,1762,normal
EQ-0073,Motor,58.9,4.75,3.01,40,normal
EQ-0074,Bomba,69.3,5.66,2.48,5827,normal
EQ-0075,Motor,31.1,8.83,2.99,8259,critico
EQ-0076,Bomba,57.7,5.38,1.39,987,normal
EQ-0077,Ventilador,67.0,6.99,2.59,7804,normal
EQ-0078,Ventilador,55.0,4.59,0.84,7789,normal
EQ-0079,Compressor,89.6,5.45,2.28,5717,alerta
EQ-0080,Ventilador,52.8,7.8,1.41,3198,alerta
EQ-0081,Compressor,64.7,4.68,1.59,5374,normal
EQ-0082,Ventilador,71.6,7.86,3.76,4790,alerta
EQ-0083,Motor,87.3,6.42,3.6,7183,alerta
EQ-0084,Ventilador,52.8,4.77,3.07,2524,normal
EQ-0085,Compressor,84.0,6.32,1.2,9277,alerta
EQ-0086,Compressor,70.1,6.76,2.05,2479,normal
EQ-0087,Bomba,58.2,6.31,3.73,9885,alerta
EQ-0088,Motor,75.5,3.46,2.56,5154,normal
EQ-0089,Ventilador,72.4,4.55,4.95,778,critico
EQ-0090,Bomba,62.8,5.18,2.83,9777,normal
EQ-0091,Ventilador,70.8,5.4,2.61,1492,normal
EQ-0092,Ventilador,65.4,6.31,2.06,660,normal
EQ-0093,Bomba,71.4,5.73,2.55,1348,normal
EQ-0094,Bomba,77.9,3.76,2.23,9491,normal
EQ-0095,Bomba,89.0,5.99,3.18,7851,alerta
EQ-0096,Bomba,55.1,6.29,3.45,7156,normal
EQ-0097,Bomba,95.6,6.23,1.54,2044,critico
EQ-0098,Ventilador,46.6,6.91,0.94,7368,normal
EQ-0099,Bomba,68.2,6.58,0.38,3516,normal
EQ-0100,Motor,77.1,6.1,2.96,9250,normal
EQ-0101,Compressor,73.4,5.41,1.19,9168,normal
EQ-0102,Bomba,62.5,3.34,0.03,4577,normal
EQ-0103,Bomba,67.5,6.06,2.83,727,normal
EQ-0104,Ventilador,64.1,5.77,5.14,7468,critico
EQ-0105,Bomba,62.9,5.85,2.39,342,normal
EQ-0106,Bomba,80.2,3.84,3.32,1447,alerta
EQ-0107,Bomba,74.3,4.09,2.49,6581,normal
EQ-0108,Ventilador,61.7,6.87,2.29,6317,normal
EQ-0109,Bomba,80.8,5.45,3.41,526,alerta
EQ-0110,Compressor,73.7,6.39,2.08,6748,normal
EQ-0111,Ventilador,79.8,5.54,2.69,405,normal
EQ-0112,Compressor,77.6,5.54,2.75,7986,normal
EQ-0113,Ventilador,60.1,6.72,1.67,9765,normal
EQ-0114,Bomba,63.3,4.83,3.49,3740,normal
EQ-0115,Compressor,79.0,5.62,2.21,1846,normal
EQ-0116,Ventilador,77.3,4.9,1.57,1478,normal
EQ-0117,Motor,69.7,4.94,2.99,771,normal
EQ-0118,Bomba,71.4,5.1,1.41,5525,normal
EQ-0119,Ventilador,85.3,5.79,2.43,8770,alerta
EQ-0120,Motor,62.9,4.88,2.39,193,normal
EQ-0121,Ventilador,76.6,7.13,3.59,2007,alerta
EQ-0122,Motor,67.6,4.34,2.92,1185,normal
EQ-0123,Bomba,67.4,5.26,2.37,2394,normal
EQ-0124,Compressor,83.2,4.93,3.3,9984,alerta
EQ-0125,Motor,79.9,7.38,3.93,9302,alerta
EQ-0126,Ventilador,79.8,5.76,3.01,4005,normal
EQ-0127,Bomba,85.7,6.84,2.41,7429,alerta
EQ-0128,Motor,70.3,3.57,0.96,2261,normal
EQ-0129,Ventilador,78.2,5.85,1.23,3736,normal
EQ-0130,Ventilador,66.3,6.66,2.06,6716,normal
EQ-0131,Ventilador,73.9,5.61,1.73,4875,normal
EQ-0132,Motor,68.4,6.89,2.19,8921,normal
EQ-0133,Motor,71.2,4.83,2.46,4378,normal
EQ-0134,Motor,77.1,7.33,2.98,7815,alerta
EQ-0135,Compressor,60.2,8.49,2.32,3451,critico
EQ-0136,Motor,95.1,5.03,2.94,7616,critico
EQ-0137,Motor,57.9,4.92,2.47,9836,normal
EQ-0138,Motor,55.4,7.39,0.23,2800,alerta
EQ-0139,Compressor,83.9,7.55,1.37,8333,alerta
EQ-0140,Motor,79.5,4.82,2.24,5410,normal
EQ-0141,Ventilador,77.5,4.95,1.07,1455,normal
EQ-0142,Motor,77.5,5.13,3.06,6892,normal
EQ-0143,Ventilador,69.9,3.75,4.08,5808,alerta
EQ-0144,Ventilador,59.2,4.31,3.74,6796,alerta
EQ-0145,Ventilador,70.9,4.19,2.17,4796,normal
EQ-0146,Compressor,61.9,4.5,4.04,5093,alerta
EQ-0147,Compressor,81.7,5.45,2.56,1325,alerta
EQ-0148,Compressor,68.2,5.8,2.03,4976,normal
EQ-0149,Motor,60.1,7.52,1.73,9405,alerta
EQ-0150,Ventilador,66.1,4.2,2.07,1159,normal
EQ-0151,Compressor,75.0,6.78,1.97,4650,normal
EQ-0152,Compressor,63.2,5.22,2.59,4987,normal
EQ-0153,Motor,60.1,5.44,2.58,4697,normal
EQ-0154,Compressor,72.9,6.38,2.4,340,normal
EQ-0155,Motor,72.9,4.04,2.88,3828,normal
EQ-0156,Bomba,63.9,6.0,3.71,1968,alerta
EQ-0157,Compressor,64.3,5.72,3.44,703,normal
EQ-0158,Bomba,72.8,6.14,0.77,5482,normal
EQ-0159,Motor,52.6,5.88,-0.41,6376,normal
EQ-0160,Ventilador,53.1,8.69,3.43,1800,critico
EQ-0161,Compressor,61.4,4.67,0.9,5463,normal
EQ-0162,Motor,67.4,4.81,2.15,4912,normal
EQ-0163,Ventilador,73.7,4.69,1.11,4648,normal
EQ-0164,Ventilador,87.7,4.78,0.42,855,alerta
EQ-0165,Bomba,80.3,4.67,3.0,2866,alerta
EQ-0166,Motor,68.1,7.05,3.24,182,alerta
EQ-0167,Ventilador,69.8,7.35,1.77,3112,alerta
EQ-0168,Compressor,58.0,4.76,-0.45,5670,normal
EQ-0169,Compressor,69.8,4.42,1.8,4492,normal
EQ-0170,Bomba,66.5,6.11,2.83,5823,normal
EQ-0171,Ventilador,73.9,4.78,0.77,1517,normal
EQ-0172,Motor,60.1,6.32,2.6,5002,normal
EQ-0173,Compressor,76.2,5.76,2.38,1356,normal
EQ-0174,Ventilador,88.4,3.53,3.04,3629,alerta
EQ-0175,Ventilador,68.7,7.51,2.53,3628,alerta
EQ-0176,Bomba,74.8,7.83,1.33,8210,alerta
EQ-0177,Compressor,78.3,4.7,3.72,6132,alerta
EQ-0178,Compressor,65.2,5.0,2.23,9324,normal
EQ-0179,Motor,72.7,5.87,2.37,6588,normal
EQ-0180,Compressor,70.2,5.93,1.37,3311,normal
EQ-0181,Motor,71.2,6.36,1.91,6048,normal
EQ-0182,Compressor,60.7,8.11,1.43,6246,critico
EQ-0183,Bomba,70.3,5.27,2.21,987,normal
EQ-0184,Compressor,76.0,4.46,4.28,3321,alerta
EQ-0185,Motor,87.4,3.71,0.89,4615,alerta
EQ-0186,Motor,81.5,4.55,0.63,8365,alerta
EQ-0187,Bomba,95.8,5.46,4.02,3741,critico
EQ-0188,Compressor,60.8,7.83,2.17,3052,alerta
EQ-0189,Compressor,80.5,4.83,1.66,6574,alerta
EQ-0190,Bomba,72.2,5.79,3.54,726,alerta
EQ-0191,Compressor,96.3,5.48,1.73,3760,critico
EQ-0192,Compressor,60.3,7.04,4.41,5806,alerta
EQ-0193,Motor,59.9,8.79,3.15,1875,critico
EQ-0194,Compressor,62.8,4.81,1.86,6993,normal
